Pathway,nGenesMapped,nGenesUsed,nSamples,ObservedP,empiricalP,Genes
1285075_ko04925_Aldosterone_synthesis_and_secretion,80,73,100000,5.22392939371762e-19,0.000209997900021,CALML6_PRKACB_HSD3B1_CREB3L4_CACNA1S_CAMK1G_ADCY3_KCNK3_PRKD3_PRKCE_CALM2_NR4A2_ATF2_CREB1_ITPR1_CAMK1_CACNA1D_ADCY5_AGTR1_CAMK2D_ADCY2_CAMK4_CAMK2A_ATF6B_ITPR3_DAGLB_CREB5_CAMK2B_ADCY1_CREB3L2_STAR_ADCY8_KCNK9_CYP11B2_CREB3_PRKACG_GNAQ_CALML3_CAMK1D_CAMK2G_CREB3L1_DAGLA_PLCB3_PDE2A_CACNA1C_ITPR2_ADCY6_ATF1_NR4A1_ORAI1_SCARB1_ADCY4_PRKD1_CALM1_PLCB2_CYP11A1_CACNA1H_ADCY9_PRKCB_ADCY7_CACNA1G_PRKCA_MC2R_GNA11_CREB3L3_LDLR_PRKACA_LIPE_PRKD2_PRKCG_PLCB4_GNAS_CACNA1I
1269868_R-HSA-397014_Muscle_contraction,194,149,100000,7.45615279349508e-27,0.000219997800022,NPPA_AHCYL1_KCND3_HIPK1_ATP1A1_TMOD4_TPM3_ATP1A4_ATP1B1_LMOD1_ATP2B4_KCNK2_KCNK1_RYR2_FKBP1B_KCNK3_SLC8A1_KCNK12_DYSF_ACTG2_KCNIP3_CACNB4_SCN2A_SCN7A_TTN_MYL1_DES_KCNE4_NPPC_ITPR1_CAV3_ATP2B2_KAT2B_SCN11A_MYL3_CACNA2D2_TNNC1_CACNA2D3_MYLK_ITGB5_ATP1B3_TRPC1_WWTR1_FGF12_MYL5_KCNIP4_CORIN_CAMK2D_ITGA1_CAMK2A_ANXA6_KCNIP1_NKX2-5_ITPR3_KCNK16_PLN_TRDN_CAMK2B_CACNA2D1_SRI_AKAP9_MYL10_KCND2_CALD1_HIPK2_KCNH2_GATA4_SORBS3_ASPH_KCNK9_NPR2_ANXA1_TMOD1_VIM_FXYD4_VCL_ACTA2_SORBS1_KCNIP2_KCNK18_TNNT3_KCNQ1_STIM1_KCNJ11_MYBPC3_KCNK4_KCNK7_ACTN3_KCNE3_SLN_SCN2B_SCN3B_CACNA1C_ABCC9_ITPR2_CACNB3_SCN8A_MYL6_ATP2B1_MYBPC1_ATP2A2_MYL2_TBX5_NOS1_PXN_ORAI1_FGF14_MYH6_SLC8A3_KCNK10_CALM1_RYR3_TMOD3_ANXA2_TPM1_MYH11_CACNG3_ATP2A1_MYLPF_TRIM72_ATP2A3_ATP1B2_RANGRF_MYH3_KCNJ12_TCAP_MYL4_SCN4A_CACNG1_KCNJ2_MYL12B_PRKACA_TPM4_FXYD7_RYR1_ATP1A3_DMPK_CALM3_SLC8A2_KCNJ14_MYBPC2_CACNG6_TNNI3_MYL9_KCNK15_TNNC2_KCNE1_CACNG2_KCNJ4
490342_GO:0007178_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway,221,193,100000,1.31333874434601e-30,0.000229997700023,SKI_HDAC1_BMP8B_ZFYVE9_JUN_TGFBR3_TRIM33_HFE2_CGN_F11R_UCHL5_FMOD_TGFB2_PARP1_RYR2_GREM2_GDF7_PPP1CB_LTBP1_SPTBN1_RPS27A_XPO1_BMP10_ATOH8_TGFBRAP1_INHBB_CFC1_CCNT2_ACVR2A_ACVR1_COL3A1_MSTN_BMPR2_CREB1_INHA_TGFBR2_ACVR2B_TDGF1_RHOA_FSTL1_ITGB5_TFDP2_WWTR1_SLC33A1_PPM1L_SKIL_NCEH1_CHRD_MSX1_AFP_BMP3_BMPR1B_UBE2D3_LEF1_SMAD1_HPGD_SUB1_MAP3K1_ZFYVE16_LNPEP_RGMB_GDF9_JADE2_SMAD5_EGR1_NKX2-5_MSX2_BMP6_GCNT2_HFE_POU5F1_MAPK14_BMP5_MAP3K7_CCNC_PTPRK_CITED2_T_PDGFA_INHBA_MAGI2_COL1A2_DLX5_SMURF1_SERPINE1_HIPK2_ZYX_GATA4_BMP1_ADAM9_FNTA_E2F5_GDF6_KLF10_TRPS1_MYC_PTK2_FOXH1_CER1_CDKN2B_ROR2_TGFBR1_ENG_VIM_BAMBI_ITGB1_PARD3_GDF10_UBE2D1_NODAL_C10orf54_BMPR1A_FGF8_FSHB_LRP4_MEN1_RBM14-RBM4_PPP1CA_APOA1_CBL_AKAP3_STRAP_WNT1_ACVR1B_AMHR2_SLC39A5_INHBE_USP15_BTBD11_PPP1CC_PXN_UBC_CDK8_SMAD9_TFDP1_MYH6_NEDD8_FERMT2_BMP4_PPM1A_FUT8_LTBP2_FOS_TGFB3_SNW1_CCNK_RNF111_SMAD3_PML_FURIN_RGMA_STUB1_MAPK3_TGFB1I1_CDH5_PARD6A_ARRB2_TP53_UBB_FAM83G_NLK_CCL2_TOB1_TMEM100_NOG_MTMR4_SMURF2_TGIF1_TWSG1_DSG4_SMAD2_SMAD7_SMAD4_NEDD4L_ARHGEF18_JUNB_GDF1_ETV2_EID2_LTBP4_TGFB1_MEGF8_PPP1R15A_UBE2M_FKBP1A_BMP2_DUSP15_GDF5_SRC_HNF4A_PMEPA1_CLDN5_TAB1
500589_GO:0031330_negative_regulation_of_cellular_catabolic_process,196,185,100000,7.12868718950329e-30,0.000229997700023,PARK7_DFFA_MAD2L2_RCC2_PINK1_KDM4A_STIL_LEPR_PTPN22_UBQLN4_QSOX1_TPR_TNNT2_MYOG_ATP2B4_IL10_CENPF_EGLN1_NBAS_ATRAID_FEZ2_LRPPRC_PDCL3_BUB1_ANAPC1_DAPL1_HTR2B_SH3BP4_HDAC4_ATG7_TIMP4_UBE2E1_KLHL40_SMARCC1_USP19_PXK_FHIT_LAMP3_TBC1D14_CPEB2_PPARGC1A_ANAPC4_SNCA_MAD2L1_ANAPC10_DAP_GZMA_TAF9_APC_CDC23_ADRA1B_PRELID1_GPLD1_HFE_ZKSCAN3_IER3_BAG6_RNF5_HSP90AB1_TTK_CNR1_PLN_TAB2_FBXO5_KIF25_MAD1L1_HGF_PIK3CG_MET_LEP_SHH_PTPRN2_USP17L2_LZTS1_CCAR2_PBK_SDCBP_ARFGEF1_TERF1_PABPC1_NRBP2_RRAGA_CDKN2A_RGP1_UBQLN1_SECISBP2_FBP1_PTPN3_CDC26_DAB2IP_GOLGA2_TSC1_ANAPC2_WAC_UBE2D1_DDIT4_PPIF_SUFU_BUB3_HRAS_INS_NELL1_SVIP_UBXN1_ARL2_ACTN3_ANAPC15_MTMR2_ATM_ZW10_APOC3_FEZ1_METTL20_LRRK2_SENP1_WNT1_USP44_FICD_ACACB_ANAPC7_ANAPC5_TMED2_FZD10_SPRY2_CDC16_OXA1L_CHMP4A_SCFD1_PSEN1_SLIRP_BAG5_AKT1_BUB1B_ANXA2_HERC1_PML_FURIN_PAM16_PLK1_CLN3_N4BP1_MT3_CSNK2A2_HP_GABARAPL2_CBFA2T3_ARRB2_TP53_MAPK7_ZNF207_STAT3_CDC27_CDK5RAP3_TOB1_TEX14_BCAS3_TLK2_TIMP2_ANAPC11_USP14_ADCYAP1_PSMG2_NPC1_BCL2_PLIN5_GIPC1_GMIP_SIRT2_GSK3A_APOC1_DHX34_SNRNP70_PRKCG_TNNI3_CSNK2A1_PSMF1_CST3_BCL2L1_CHMP4B_UBE2C_KLHL22_MTMR3_TIMP3_TSPO_PPARA
1272485_hsa04925_Aldosterone_synthesis_and_secretion,80,73,100000,5.22392939371762e-19,0.000239997600024,CALML6_PRKACB_HSD3B1_CREB3L4_CACNA1S_CAMK1G_ADCY3_KCNK3_PRKD3_PRKCE_CALM2_NR4A2_ATF2_CREB1_ITPR1_CAMK1_CACNA1D_ADCY5_AGTR1_CAMK2D_ADCY2_CAMK4_CAMK2A_ATF6B_ITPR3_DAGLB_CREB5_CAMK2B_ADCY1_CREB3L2_STAR_ADCY8_KCNK9_CYP11B2_CREB3_PRKACG_GNAQ_CALML3_CAMK1D_CAMK2G_CREB3L1_DAGLA_PLCB3_PDE2A_CACNA1C_ITPR2_ADCY6_ATF1_NR4A1_ORAI1_SCARB1_ADCY4_PRKD1_CALM1_PLCB2_CYP11A1_CACNA1H_ADCY9_PRKCB_ADCY7_CACNA1G_PRKCA_MC2R_GNA11_CREB3L3_LDLR_PRKACA_LIPE_PRKD2_PRKCG_PLCB4_GNAS_CACNA1I
490375_GO:0005109_frizzled_binding,36,31,100000,1.01864394895837e-13,0.000239997600024,DVL1_WNT4_WNT2B_MAGI3_MYOC_WNT3A_FZD7_WNT10A_WNT7A_WNT5A_RYK_DVL3_WNT8A_RSPO3_FZD1_WNT2_WNT16_SFRP1_SDCBP_CTHRC1_ROR2_BAMBI_WNT8B_WNT11_WNT5B_LRP6_WNT1_DVL2_WNT9B_RNF43_WNT7B
849976_GO:1902275_regulation_of_chromatin_organization,157,146,100000,1.07340661387521e-26,0.000249997500025,NOC2L_SKI_MTHFR_PADI2_PAX7_KDM1A_KDM4A_TAL1_MIER1_GFI1_MTF2_SETDB1_CHTOP_MUC1_TPR_LPIN1_ATAD2B_ASXL2_UCN_KDM3A_ARID5A_IL1B_IWS1_GCG_TLK1_TRIP12_TADA3_ATG7_KAT2B_CTNNB1_DPPA2_GATA2_BCL6_CTBP1_NELFA_TADA2B_PPARGC1A_SNCA_CAMK2D_SETD7_NIPBL_ISL1_CCNB1_UBE2B_H2AFY_TAF7_MSX2_NSD1_JARID2_HIST1H1B_POU5F1_NELFE_PHF1_HMGA1_C6orf89_VEGFA_ZNF451_ATG5_ASF1A_MYB_TWIST1_AUTS2_ZNHIT1_PAXIP1_USP17L2_PIWIL2_SNAI2_UBR5_TRPS1_ATAD2_PARP10_UHRF2_PAX5_PHF2_RNF20_PHF19_CDK9_SET_PRDM12_GFI1B_GATA3_MAPK8_SIRT1_TET1_CTR9_SPTY2D1_SPI1_MEN1_KDM2A_ARRB1_EED_KDM4E_ATM_KMT2A_CHEK1_KDM5A_RAPGEF3_UBE2N_SART3_NOS1_PRKD1_JDP2_SNW1_RPS6KA5_RTF1_EID1_PML_SIN3A_WDR61_MAPK3_RNF40_BRD7_CTCF_TP53_MYOCD_NCOR1_FLCN_SREBF1_SUPT6H_TADA2A_KAT2A_BRCA1_HDAC5_TLK2_WBP2_SMAD4_KDM4B_DNMT1_AKAP8L_MAP1S_KMT2B_PAF1_DMRTC2_PRKD2_PIH1D1_ZNF304_TRIM28_DNMT3B_ZNF335_CTCFL_PAXBP1_CDC45_SMARCB1_XBP1_LIF_EP300
492552_GO:0008211_glucocorticoid_metabolic_process,15,13,100000,1.73318565605461e-10,0.000269997300027,HSD3B1_HSD11B1_NR3C1_STAR_CRH_CYP11B2_CYP17A1_APOA1_SERPINA6_CYP11A1_CACNA1H_HSD11B2_YWHAH
499339_GO:0022603_regulation_of_anatomical_structure_morphogenesis,963,680,100000,1.88804188477416e-69,0.000269997300027,DVL1_RNF207_UTS2_CASZ1_NPPB_PDPN_ARHGEF19_RCC2_CAPZB_PINK1_WNT4_EPHB2_GRHL3_FGR_TRIM62_ZMYM4_ZC3H12A_MACF1_FOXO6_PTPRF_LRP8_TACSTD2_ANGPTL3_ROR1_JAK1_DDAH1_GBP1_BARHL2_TGFBR3_EVI5_F3_PALMD_CD53_RAP1A_WNT2B_HIPK1_VANGL1_ECM1_SEMA6C_S100A10_NPR1_CHRNB2_EFNA1_SEMA4A_NTRK1_SPTA1_VANGL2_FASLG_RC3H1_TNR_ABL2_PTGS2_OPTC_CNTN2_PLXNA2_VASH2_PROX1_TGFB2_WNT3A_RHOU_AGT_DISC1_ITGB1BP1_ROCK2_OSR1_GDF7_ITSN2_XDH_CYP1B1_SIX2_RHOQ_RTN4_VRK2_BCL11A_WDPCP_BMP10_NOTO_SEMA4F_SEMA4C_TBC1D8_LIMS1_PAX8_ACTR3_EPB41L5_CLASP1_LIMS2_ARHGAP15_ZEB2_PRPF40A_ERMN_TBR1_CHN1_HOXD11_COL5A2_STAT1_CFLAR_BMPR2_FN1_WNT10A_OBSL1_EPHA4_PAX3_MFF_PID1_SP100_NGEF_STK25_CAV3_CAMK1_GHRL_WNT7A_FGD5_TBC1D5_TGFBR2_CLASP2_GOLGA4_CX3CR1_CTNNB1_LIMD1_CCR2_CELSR3_DAG1_HYAL1_STAB1_WNT5A_FEZF2_PRICKLE2_PROK2_ROBO2_ROBO1_EPHA3_PHLDB2_ATG3_GSK3B_SEMA5B_PLXNA1_MGLL_GATA2_PLXND1_NPHP3_RYK_PPP2R3A_WWTR1_SHOX2_PDCD10_SKIL_TNIK_NLGN1_EPHB3_ST6GAL1_BCL6_HES1_DLG1_HTT_MSX1_TBC1D14_SLIT2_PPARGC1A_TBC1D19_TBC1D1_KDR_HOPX_RUFY3_PF4_SHROOM3_CXCL13_ANXA3_NKX6-1_SPP1_PDLIM5_PPP3CA_LEF1_CASP6_AP1AR_SPRY1_SMAD1_EDNRA_SH3D19_SFRP2_FGG_RAPGEF2_HAND2_VEGFC_PDCD6_ADAMTS16_SEMA5A_BASP1_ADAMTS12_GDNF_DAB2_C6_FGF10_ISL1_MAP1B_HEXB_AGGF1_THBS4_RASA1_MEF2C_ERAP1_EFNA5_WDR36_APC_SEMA6A_CSNK1G3_CDC42SE2_IL4_FSTL4_CDKL3_ECSCR_ARAP3_FGF1_SPINK5_ADRB2_CSNK1A1_CDX1_SPARC_SLIT3_FGF18_FGFR4_FLT4_GNB2L1_RREB1_GCNT2_EDN1_TBC1D7_DCDC2_LRRC16A_LST1_NOTCH4_SYNGAP1_MAPK14_TBC1D22B_VEGFA_IL17F_GCM1_BMP5_RIMS1_PHIP_TBX18_ANKRD6_EPHA7_POU3F2_BVES_ATG5_NR2E1_FYN_HDAC2_HEY2_RSPO3_ARHGAP18_SGK1_AHI1_TNFAIP3_CITED2_UST_ESR1_EZR_PARK2_THBS2_DLL1_PDGFA_GNA12_RAC1_TWIST1_IL6_HOXA11_WIPF3_AQP1_CAMK2B_LIMK1_GTF2I_HSPB1_MAGI2_SEMA3C_HGF_SEMA3A_SEMA3D_FZD1_KRIT1_ASB4_SMURF1_FIS1_CUX1_RELN_IFRD1_FOXP2_WNT2_TSPAN12_PTPRZ1_LEP_STRIP2_MKLN1_PLXNA4_PTN_HIPK2_BRAF_EPHA1_EZH2_CDK5_SHH_ANGPT2_GATA4_LZTS1_DMTN_NEFL_DPYSL2_PTK2B_KIF13B_NRG1_ZNF703_FGFR1_ADAM9_SFRP1_VDAC3_SNAI2_SOX17_SDCBP_SULF1_EYA1_HEY1_SDC2_MTDH_OSR2_DCSTAMP_RSPO2_TNFRSF11B_ENPP2_HAS2_MYC_PTK2_ARC_DMRT2_RLN2_PTPRD_NFIB_MLLT3_CDKN2A_TEK_B4GALT1_GLIPR2_FXN_ANXA1_HNRNPK_NTRK2_SEMA4D_FGD3_TBC1D2_TGFBR1_KLF4_PALM2_LPAR1_DAB2IP_CRB2_TBC1D13_ABL1_OLFM1_CAMSAP1_NOTCH1_NSMF_NET1_GATA3_USP6NL_BAMBI_NRP1_GJD4_RET_CXCL12_FAM21C_GDF2_DKK1_STOX1_NEUROG3_NODAL_PLAU_MMRN2_PTEN_HHEX_SLIT1_SFRP5_SEMA4G_FGF8_TCF7L2_PDZD8_FGFR2_ZRANB1_BNIP3_KNDC1_RNH1_ILK_ADM_PARVA_PDE3B_MYOD1_HTATIP2_GAS2_BDNF_WT1_CAPRIN1_CD44_LRRC4C_LRP4_CNTF_SDHAF2_VEGFB_CDC42EP2_CFL1_CORO1B_GAL_FGF3_CTTN_ARAP1_TPBGL_WNT11_TENM4_TRPC6_MMP20_RDX_IL18_APOA1_BCL9L_THY1_ETS1_TNFRSF1A_LRP6_STRAP_CAPRIN2_DNM1L_LRRK2_PRICKLE1_VDR_FMNL3_LARP4_CELA1_ACVRL1_KRT1_ITGA5_ITGA7_NACA_GLI1_TBC1D30_IFNG_FRS2_TBC1D15_SYT1_MYF5_ALX1_DUSP6_DCN_BTG1_PLXNC1_NTN4_SSH1_TCHP_CUX2_RASAL1_TBX5_FBXW8_PXN_ULK1_IFT88_WASF3_FLT1_HMGB1_STARD13_SPG20_POSTN_RGCC_CPB2_CYSLTR2_OLFM4_GPC6_RAP2A_STK24_TNFSF13B_COL4A2_ARHGEF7_CMA1_PRKD1_COCH_CFL2_PAX9_FOXA1_DDHD1_BMP4_OTX2_DACT1_DAAM1_SIX4_HIF1A_RHOJ_AKAP5_SYNJ2BP_SIPA1L1_NUMB_PGF_TGFB3_VASH1_BTBD7_SYNE3_VRK1_WARS_INF2_CYFIP1_ATP10A_CHRFAM7A_CHRNA7_GREM1_THBS1_DLL4_ITPKA_EPB42_ELL3_SEMA6D_FGF7_MNS1_TPM1_CSNK1G1_MAP2K1_MAP2K5_BBS4_SEMA7A_TBC1D2B_CTSH_NTRK3_CIB1_FES_RGMA_SOX8_IFT140_TBC1D24_TNFRSF12A_VASN_EMP2_XYLT1_SYT17_EEF2K_PRKCB_IL4R_TBC1D10B_TGFB1I1_MYLK3_SALL1_MT3_CX3CL1_CDH1_DHODH_CFDP1_FOXC2_FBXO31_SERPINF1_PAFAH1B1_C1QBP_SOX15_NTN1_GAS7_TRPV2_PLD6_MIEF2_ULK2_SARM1_SSH2_OMG_CDK5R1_CCL13_CCL3_LHX1_HNF1B_SRCIN1_WIPF2_HAP1_ETV4_FZD2_FMNL1_MAPT_WNT9B_SP6_HOXB7_NGFR_CHAD_TMEM100_NOG_MKS1_TBX2_AXIN2_PRKCA_SOX9_CDC42EP4_SLC9A3R1_SPHK1_TBC1D16_AATK_UTS2R_TGIF1_EPB41L3_PTPRM_LDLRAD4_ROCK1_GATA6_CDH2_SYT4_SKOR2_SMAD2_SMAD7_SMAD4_DCC_NEDD4L_CCBE1_SERPINB3_MBP_SEMA6B_C3_ANGPTL4_CCDC151_CACNA1A_PKN1_UNC13A_GDF15_ANKRD27_WTIP_MAG_ACTN4_NUMBL_TGFB1_MEGF8_APOE_GPR4_EHD2_BAX_KLK8_MYADM_CDC42EP5_ZNF304_ZNF135_ANGPT4_BMP2_OVOL2_FOXA2_CST3_HCK_TGIF2_SRC_PPP1R16B_PLCG1_SRSF6_ADA_OCSTAMP_SULF2_PREX1_SNAI1_NFATC2_BMP7_SS18L1_BHLHE23_TIAM1_RUNX1_TTC3_ERG_BRWD1_DSCAM_C21orf2_POFUT2_S100B_RTN4R_BCR_XBP1_TBC1D10A_YWHAH_HMOX1_MYH9_TRIOBP_CSNK1E_MIEF1_SGSM3_EP300_TNFRSF13C_PARVB_FBLN1_TBC1D22A_SHANK3
492544_GO:0008203_cholesterol_metabolic_process,108,95,100000,3.98436058044498e-21,0.000289997100029,CELA3A_LDLRAP1_NR0B2_PCSK9_PRKAA2_ANGPTL3_LEPR_HMGCS2_FDPS_APOA2_HSD17B7_TNFSF4_SOAT1_LBR_ARV1_GGPS1_APOB_SNX17_INSIG2_HDLBP_SCAP_CNBP_MSMO1_PRKAA1_HMGCS1_HMGCR_IL4_PPARD_TRERF1_CYP39A1_NPC1L1_CYP51A1_PON1_CFTR_LEP_AKR1D1_INSIG1_CLN8_FDFT1_STAR_CYP7A1_CYP7B1_SQLE_CYP11B2_VLDLR_ABCA1_CEL_RXRA_IDI1_CUBN_CH25H_ERLIN1_OSBPL5_CAT_TM7SF2_LRP5_DHCR7_FDX1_APOA1_SORL1_APLP2_SOAT2_APOF_MVK_SCARB1_NPC2_CYP46A1_LIPC_CLN6_CYP11A1_APOBR_CETP_LCAT_MBTPS1_MVD_SCARF1_SREBF1_STARD3_ACLY_PCTP_FDXR_NPC1_OSBPL1A_ACAA2_FECH_LDLR_CEBPA_LIPE_APOC1_APP_ABCG1_LSS_APOL1_SREBF2_CYB5R3
947905_GO:1902652_secondary_alcohol_metabolic_process,112,99,100000,3.76163474577348e-21,0.000329996700033,CELA3A_LDLRAP1_NR0B2_PCSK9_PRKAA2_ANGPTL3_LEPR_HMGCS2_FDPS_APOA2_HSD17B7_TNFSF4_SOAT1_LBR_ARV1_GGPS1_APOB_SNX17_INSIG2_CYP27A1_HDLBP_SCAP_CNBP_MSMO1_PRKAA1_HMGCS1_HMGCR_IL4_PPARD_TRERF1_CYP39A1_NPC1L1_CYP51A1_PON1_CYP3A4_CFTR_LEP_AKR1D1_INSIG1_CLN8_FDFT1_STAR_CYP7A1_CYP7B1_SQLE_CYP11B2_VLDLR_ABCA1_CEL_RXRA_IDI1_CUBN_CH25H_ERLIN1_OSBPL5_CYP2R1_CAT_TM7SF2_LRP5_DHCR7_FDX1_APOA1_SORL1_APLP2_SOAT2_APOF_CYP27B1_MVK_SCARB1_NPC2_CYP46A1_LIPC_CLN6_CYP11A1_APOBR_CETP_LCAT_MBTPS1_MVD_SCARF1_SREBF1_STARD3_ACLY_PCTP_FDXR_NPC1_OSBPL1A_ACAA2_FECH_LDLR_CEBPA_LIPE_APOC1_APP_ABCG1_LSS_APOL1_SREBF2_CYB5R3
492543_GO:0008202_steroid_metabolic_process,238,181,100000,7.16001750307349e-29,0.000339996600034,WNT4_LDLRAP1_NR0B2_SCP2_PCSK9_PRKAA2_ANGPTL3_LEPR_HMGCS2_FDPS_APOA2_HSD17B7_PBX1_TNFSF4_SOAT1_NR5A2_CYB5R1_HSD11B1_LBR_ACBD3_ARV1_GGPS1_APOB_NCOA1_SNX17_SRD5A2_CYP1B1_IL1B_INSIG2_TFCP2L1_LRP2_CYP27A1_UGT1A1_HDLBP_ACAA1_CYP8B1_SCAP_ACOX2_NR1I2_CNBP_TIPARP_PPARGC1A_SRD5A3_SULT1E1_GC_AFP_HSD17B11_MSMO1_CYP4V2_SRD5A1_AMACR_PRLR_PRKAA1_HMGCS1_HMGCR_HSD17B4_IL4_NR3C1_FABP6_HSD17B8_PPARD_TRERF1_CYP39A1_ESR1_NPC1L1_CYP51A1_PON1_CYP3A4_CFTR_LEP_AKR1B15_AKR1D1_PRKAG2_SHH_CLN8_FDFT1_STAR_CYP7A1_CYP7B1_CRH_NCOA2_PEX2_SQLE_CYP11B2_VLDLR_SIGMAR1_HINT2_HSD17B3_BAAT_ABCA1_CEL_RXRA_IDI1_AKR1C4_CUBN_SGPL1_LIPA_CYP2C9_ERLIN1_CYP17A1_PLEKHA1_CYP2E1_OSBPL5_CYB5R2_ADM_CYP2R1_FSHB_CAT_HSD17B12_TM7SF2_LRP5_DHCR7_FDX1_APOA1_SORL1_APLP2_FGF23_SLCO1A2_SOAT2_HSD17B6_CYP27B1_NR1H4_MVK_SCARB1_EBPL_SLC10A2_DHRS4_SLC10A1_NPC2_C14orf1_LGMN_SERPINA6_CYP46A1_SLC27A2_CYP19A1_LIPC_CLN6_CYP1A2_STARD5_CACNA1H_SULT1A1_HSD3B7_CETP_HSD11B2_LCAT_WWOX_HSD17B2_MBTPS1_MVD_SCARF1_SREBF1_STARD3_G6PC_ABCC3_PCTP_FDXR_NPC1_OSBPL1A_ACAA2_ATP8B1_FDX1L_LDLR_CEBPA_CYP2B6_LIPE_APOC1_SULT2A1_LHB_SLC27A5_SCP2D1_ACOT8_CYP24A1_APP_ABCG1_LSS_COMT_YWHAH_APOL1_CYB5R3_TSPO_SULT4A1
504239_GO:0035051_cardiocyte_differentiation,109,105,100000,7.62540390544813e-22,0.000389996100039,MTOR_NPPA_SLC9A1_ACADM_NEXN_LMNA_CACYBP_PROX1_TGFB2_WNT3A_AGT_ACTN2_SLC8A1_BMP10_FHL2_ACVR1_TTN_OBSL1_CAV3_ATG7_RARB_EOMES_TDGF1_FOXP1_POPDC2_ECE2_HES1_RBPJ_SGCB_PDGFRA_REST_PDLIM5_PITX2_CAMK2D_HAND2_SORBS2_ISL1_CCNB1_MEF2C_WNT8A_PDGFRB_NKX2-5_MAML1_POU5F1_RXRB_SRF_VEGFA_BVES_ATG5_HEY2_CITED2_T_TWIST1_MET_GATA4_NKX2-6_NRG1_SOX17_TSC1_RXRA_NOTCH1_NEBL_ITGB1_CDK1_SOX6_CSRP3_WT1_FOLR1_TENM4_NOX4_LRP6_LRRC10_MYL2_TBX3_IFT88_MYH6_PROX2_DICER1_GREM1_ACTC1_ALPK3_MESP1_MEF2A_MYH11_MAPK3_MYLK3_KDM6B_MYH10_MYOCD_IFT20_TCAP_RARA_KAT2A_TBX2_GATA6_FHOD3_SMAD4_CALR_BMP2_JAG1_SOX18_CXADR_MAPK1_MYO18B_CBY1
506101_GO:0043010_camera-type_eye_development,309,275,100000,2.87871858397553e-37,0.000389996100039,HES5_NPHP4_CASZ1_MFN2_EPHA2_EPHB2_CLIC4_ARID1A_PHACTR4_HDAC1_HPCA_COL8A2_FOXE3_JUN_RPE65_BCAR3_GNAT2_WNT2B_HIPK1_NOTCH2_GJA8_PYGO2_NES_CACNA1S_KDM5B_ATP2B4_RD3_PROX1_WNT9A_SOX11_ZNF513_CYP1B1_SOS1_SIX3_EFEMP1_WDPCP_MEIS1_VAX2_SLC4A5_CNGA3_NPHP1_MERTK_RAB3GAP1_GPD2_SP3_NEUROD1_BMPR2_ABI2_CRYGA_IHH_PRSS56_TWIST2_WNT7A_RARB_SLC4A7_TGFBR2_ACVR2B_CTNNB1_LAMB2_GNAT1_WNT5A_CCDC66_MITF_ARL6_COL8A1_RPL24_MYH15_PVRL3_RHO_BFSP2_EPHB1_FOXL2_SKIL_ACTL6A_SOX2_CLCN2_CRYGS_DLG1_PDE6B_FGFR3_PROM1_WDR19_PDGFRA_KDR_BMPR1B_PITX2_SLC7A11_POU4F2_MAB21L2_GPM6A_TENM3_MTNR1A_LPCAT1_FGF10_HCN1_MAP3K1_MAN2A1_APC_FBN2_IL4_PDGFRB_GRM6_TFAP2A_BAK1_TULP1_SRF_VEGFA_TFAP2B_NR2E1_HDAC2_GJA1_AHI1_CITED2_DLL1_SDK1_TWIST1_AQP1_GLI3_IKZF1_EGFR_ACHE_FOXP2_WNT2_WNT16_PAX4_IMPDH1_PTN_HIPK2_CASP2_SMARCD3_KMT2C_SHH_CLN8_RP1L1_RP1_CHD7_RDH10_CALB1_OSR2_GRHL2_TOPORS_RORB_HNRNPK_NTRK2_AGTPBP1_NINJ1_TMOD1_TGFBR1_KLF4_LHX2_SLC25A25_LAMC3_RXRA_GATA3_VIM_PTF1A_ZEB1_NRP1_RET_ATOH7_PDE6C_PAX2_PITX3_VAX1_FGFR2_DRD4_TH_CDKN1C_RRM1_TUB_WT1_FJX1_ROM1_CABP4_LRP5_TSKU_FZD4_MTNR1B_CRYAB_PVRL1_CDON_WNT5B_TULP3_LRP6_AQP5_ACVRL1_SP1_NEUROD4_MIP_CDK4_MDM1_FRS2_MYF5_CEP290_ATP2B1_KERA_SLC17A8_FOXN4_KDM2B_ATP8A2_MAB21L1_SLITRK6_COL4A1_SOX1_GRK1_RPGRIP1_BMP4_HIF1A_RHOJ_MAX_PSEN1_VSX2_TTC8_BCL11B_YY1_FBN1_ALDH1A2_MEGF11_SMAD3_NR2E3_STRA6_CYP1A1_NTRK3_ALDH1A3_SOX8_IFT140_RPGRIP1L_IRX5_HSF4_MAF_FOXC2_SERPINF1_CTNS_MYH10_B9D1_CRYBA1_RAB11FIP4_UNC45B_LHX1_MED1_RARA_KRT12_WNT9B_TBX2_SOX9_SDK2_JMJD6_TGIF1_PTPRM_TWSG1_RAX_FZR1_SMARCA4_FKBP8_TGFB1_SIX5_ARHGAP35_CRX_SLC17A7_LIM2_RDH13_TBC1D20_JAG1_BFSP1_VSX1_TGIF2_BMP7_HMGN1_DSCAM_PKNOX1_CRYBB2_CRYBA4_NF2_LIF_WNT7B
